UqID,ID,Region,Location,Contract Type,Property Type,Years,Bedrooms,Bathrooms,Land Size (SQM),Build Size (SQM),FSR,Price IDR,Price ($),Price/SQM ($),Price/Year ($),Availability,Sold Date,Scrape Date,Days listed,Off plan
1,B3036,Denpasar,Sanur,Leasehold,Villa,25,3,4,1952,1512,77%,4000000000,242424,160,9697,Available,,Dec/25,,Off Plan
2,B3025,Denpasar,Sanur,Leasehold,Villa,19,3,4,3052,1502,49%,5500000000,333333,222,17544,Available,,Dec/25,,Available
3,B3015,Denpasar,Sanur,Leasehold,Villa,25,3,4,1242,1502,121%,5750000000,348485,232,13939,Available,,Dec/25,,Off Plan
4,B3023,Denpasar,Sanur,Leasehold,Villa,23,2,3,1002,422,42%,2100000000,127273,302,5534,Available,,Dec/25,,Available
5,VL3463,South Badung,Ungasan,Leasehold,Villa,14,5,5,620,250,40%,3155583114,191247,765,13661,Available,,Dec/25,,Available
6,VL3455,Central Badung,Seminyak,Leasehold,Villa,10,2,2,250,250,100%,3431550767,207973,832,20797,Available,,Dec/25,,Available
7,UB247L,Gianyar,Ubud,Leasehold,Villa,19,2,,650,240,37%,3800000000,230303,960,12121,Available,,Dec/25,,Available
8,CA992L,North Badung,Berawa,Leasehold,Villa,18,3,,500,225,45%,3900000000,236364,1051,13131,Available,,Dec/25,,Available
9,UB307L,Gianyar,Ubud,Leasehold,Villa,28,1,,280,150,54%,2800000000,169697,1131,6061,Available,,Dec/25,,Available
10,PPV4664,South Badung,Nyang Nyang,Leasehold,Villa,23,2,2,125,143,114%,2990000000,181212,1267,7879,Available,,Dec/25,,Available
11,CVA1578A,North Badung,Umalas,Leasehold,Villa,24,3,3,145,300,207%,6311166227,382495,1275,15937,Available,,Dec/25,,Available
12,PPV4662,North Badung,Berawa,Leasehold,Villa,24,3,3,150,220,147%,4845000000,293636,1335,12235,Available,,Dec/25,,Available
13,PPV4702,South Badung,Bingin,Leasehold,Villa,28,2,2,170,209,123%,4680000000,283636,1357,10130,Available,,Dec/25,,Available
14,B3035,Denpasar,Sanur,Leasehold,Villa,25,3,4,2002,195,10%,4500000000,272727,1399,10909,Available,,Dec/25,,Off Plan
15,UA552L,South Badung,Ungasan,Leasehold,Villa,25,2,,122,90,74%,2093990000,126908,1410,5076,Available,,Dec/25,,Available
16,SA472L,Denpasar,Sanur,Leasehold,Villa,30,2,,200,150,75%,3500000000,212121,1414,7071,Available,,Dec/25,,Available
17,CA1001L,North Badung,Canggu,Leasehold,Villa,30,5,,351,493,140%,11900000000,721212,1463,24040,Available,,Dec/25,,Available
18,VL3457,North Badung,Babakan,Leasehold,Villa,30,6,6,1162,662,57%,16000000000,969697,1465,32323,Available,,Dec/25,,Available
19,VL3467,North Badung,Canggu,Leasehold,Villa,17,2,2,300,220,73%,5340000000,323636,1471,19037,Available,,Dec/25,,Available
20,B3034,Denpasar,Sanur,Leasehold,Villa,25,3,4,3002,177,6%,4400000000,266667,1507,10667,Available,,Dec/25,,Off Plan
21,29741,Mengwi,Tumbak Bayuh,Freehold,Villa,,5,5,250,500,200%,12580000000,762424,1525,,Available,,Dec/25,,Available
22,SLAN018,North Badung,Kerobokan,Leasehold,Villa,25,2,2,140,140,100%,3529595075,213915,1528,8557,Available,,Dec/25,,Available
23,PPV4667,Mengwi,Pererenan,Leasehold,Villa,25,3,3,160,330,206%,8390000000,508485,1541,20339,Available,,Dec/25,,Available
24,PPV4687,North Badung,Canggu,Leasehold,Villa,23,2,2,100,144,144%,3665000000,222121,1543,9657,Available,,Dec/25,,Available
25,PPV4712,North Badung,Canggu,Freehold,Villa,,5,5,351,493,140%,12900000000,781818,1586,,Available,,Dec/25,,Available
26,CA1002F,North Badung,Canggu,Freehold,Villa,,5,,343,462,135%,12500000000,757576,1640,,Available,,Dec/25,,Available
27,PPV4688,Tabanan,Buwit,Leasehold,Villa,28,3,3,150,170,113%,4600000000,278788,1640,9957,Available,,Dec/25,,Available
28,PPV4678,South Badung,Ungasan,Leasehold,Villa,22,2,2,240,120,50%,3270000000,198182,1652,9008,Available,,Dec/25,,Available
29,PPV4665,North Badung,Canggu,Leasehold,Villa,26,3,3,220,280,127%,7750000000,469697,1677,18065,Available,,Dec/25,,Available
30,B3029,Denpasar,Sanur,Leasehold,Villa,39,3,31,200,180,90%,5000000000,303030,1684,7770,Available,,Dec/25,,Available
31,B3028,Denpasar,Sanur,Leasehold,Villa,39,3,31,200,180,90%,5000000000,303030,1684,7770,Available,,Dec/25,,Available
32,BP547L,South Badung,Balangan,Leasehold,Villa,20,1,,31,68,219%,1900000000,115152,1693,5758,Available,,Dec/25,,Off Plan
33,CA997L,North Badung,Berawa,Leasehold,Villa,16,4,,456,300,66%,8420000000,510303,1701,31894,Available,,Dec/25,,Available
