ID,DATE,REGION,LOCATION,TYPE,MGMT,BEDS,COUNT,OCCUPANCY,RATE_USD,MONTHLY_USD,TOTAL_USD
1,Apr/22,Central Badung,Kuta,Apartment,Individual,1,7,62%,$46.00,$521.00,"$3,522.00"
2,Apr/23,Central Badung,Kuta,Apartment,Individual,1,10,63%,$58.00,$874.00,"$8,348.00"
3,Apr/24,Central Badung,Kuta,Apartment,Individual,1,12,56%,$49.00,$714.00,"$8,308.00"
4,Apr/25,Central Badung,Kuta,Apartment,Individual,1,14,55%,$43.00,$592.00,"$8,406.00"
5,Aug/22,Central Badung,Kuta,Apartment,Individual,1,9,59%,$52.00,$807.00,"$6,919.00"
6,Aug/23,Central Badung,Kuta,Apartment,Individual,1,11,62%,$57.00,$936.00,"$10,442.00"
7,Aug/24,Central Badung,Kuta,Apartment,Individual,1,14,63%,$55.00,$925.00,"$12,558.00"
8,Aug/25,Central Badung,Kuta,Apartment,Individual,1,11,66%,$47.00,$743.00,"$8,342.00"
9,Dec/26,Central Badung,Kuta,Apartment,Individual,1,5,56%,$42.00,$507.00,"$2,623.00"
10,Dec/22,Central Badung,Kuta,Apartment,Individual,1,9,70%,$59.00,"$1,005.00","$9,108.00"
11,Dec/23,Central Badung,Kuta,Apartment,Individual,1,13,60%,$61.00,$834.00,"$10,597.00"
12,Dec/24,Central Badung,Kuta,Apartment,Individual,1,15,62%,$47.00,$655.00,"$9,799.00"
13,Dec/25,Central Badung,Kuta,Apartment,Individual,1,13,59%,$40.00,$616.00,"$7,928.00"
14,Feb/22,Central Badung,Kuta,Apartment,Individual,1,4,44%,$39.00,$445.00,"$1,861.00"
15,Feb/23,Central Badung,Kuta,Apartment,Individual,1,8,77%,$50.00,$845.00,"$7,172.00"
16,Feb/24,Central Badung,Kuta,Apartment,Individual,1,11,58%,$47.00,$708.00,"$7,603.00"
17,Feb/25,Central Badung,Kuta,Apartment,Individual,1,12,48%,$44.00,$551.00,"$6,408.00"
18,Jan/22,Central Badung,Kuta,Apartment,Individual,1,5,38%,$39.00,$405.00,"$2,113.00"
19,Jan/23,Central Badung,Kuta,Apartment,Individual,1,9,67%,$57.00,$967.00,"$9,079.00"
20,Jan/24,Central Badung,Kuta,Apartment,Individual,1,12,46%,$54.00,$752.00,"$9,248.00"
21,Jan/25,Central Badung,Kuta,Apartment,Individual,1,15,46%,$48.00,$632.00,"$9,198.00"
22,Jul/22,Central Badung,Kuta,Apartment,Individual,1,9,70%,$48.00,$816.00,"$7,028.00"
23,Jul/23,Central Badung,Kuta,Apartment,Individual,1,10,64%,$56.00,$906.00,"$9,363.00"
24,Jul/24,Central Badung,Kuta,Apartment,Individual,1,13,64%,$54.00,$850.00,"$10,732.00"
25,Jul/25,Central Badung,Kuta,Apartment,Individual,1,11,62%,$47.00,$757.00,"$8,287.00"
26,Jun/22,Central Badung,Kuta,Apartment,Individual,1,8,63%,$47.00,$727.00,"$6,080.00"
27,Jun/23,Central Badung,Kuta,Apartment,Individual,1,10,56%,$58.00,$895.00,"$8,584.00"
28,Jun/24,Central Badung,Kuta,Apartment,Individual,1,12,61%,$53.00,$902.00,"$10,802.00"
29,Jun/25,Central Badung,Kuta,Apartment,Individual,1,15,57%,$45.00,$592.00,"$9,092.00"
30,Mar/22,Central Badung,Kuta,Apartment,Individual,1,4,46%,$44.00,$438.00,"$1,547.00"
31,Mar/23,Central Badung,Kuta,Apartment,Individual,1,9,59%,$55.00,$775.00,"$6,897.00"
32,Mar/24,Central Badung,Kuta,Apartment,Individual,1,11,51%,$47.00,$672.00,"$7,543.00"
33,Mar/25,Central Badung,Kuta,Apartment,Individual,1,10,52%,$44.00,$598.00,"$5,790.00"
34,May/22,Central Badung,Kuta,Apartment,Individual,1,9,63%,$47.00,$731.00,"$6,265.00"
35,May/23,Central Badung,Kuta,Apartment,Individual,1,10,56%,$55.00,$842.00,"$8,419.00"
36,May/24,Central Badung,Kuta,Apartment,Individual,1,12,60%,$49.00,$800.00,"$9,667.00"
37,May/25,Central Badung,Kuta,Apartment,Individual,1,15,56%,$44.00,$616.00,"$9,122.00"
38,Nov/26,Central Badung,Kuta,Apartment,Individual,1,4,49%,$39.00,$421.00,"$1,587.00"
39,Nov/22,Central Badung,Kuta,Apartment,Individual,1,8,67%,$45.00,$771.00,"$6,473.00"
40,Nov/23,Central Badung,Kuta,Apartment,Individual,1,11,50%,$54.00,$704.00,"$8,081.00"
41,Nov/24,Central Badung,Kuta,Apartment,Individual,1,13,53%,$46.00,$647.00,"$8,514.00"
42,Nov/25,Central Badung,Kuta,Apartment,Individual,1,11,60%,$40.00,$722.00,"$8,084.00"
43,Oct/26,Central Badung,Kuta,Apartment,Individual,1,3,54%,$44.00,$557.00,"$1,826.00"
44,Oct/22,Central Badung,Kuta,Apartment,Individual,1,9,59%,$48.00,$746.00,"$6,516.00"
45,Oct/23,Central Badung,Kuta,Apartment,Individual,1,11,49%,$52.00,$775.00,"$8,411.00"
46,Oct/24,Central Badung,Kuta,Apartment,Individual,1,13,54%,$49.00,$758.00,"$10,231.00"
47,Oct/25,Central Badung,Kuta,Apartment,Individual,1,11,64%,$42.00,$831.00,"$9,298.00"
48,Sep/22,Central Badung,Kuta,Apartment,Individual,1,9,56%,$48.00,$703.00,"$6,317.00"
49,Sep/23,Central Badung,Kuta,Apartment,Individual,1,11,55%,$52.00,$782.00,"$8,941.00"
50,Sep/24,Central Badung,Kuta,Apartment,Individual,1,14,61%,$50.00,$836.00,"$11,657.00"
51,Sep/25,Central Badung,Kuta,Apartment,Individual,1,11,60%,$44.00,$676.00,"$7,484.00"
52,Apr/22,Central Badung,Kuta,Apartment,Individual,2,2,45%,$79.00,$505.00,$767.00
53,Apr/23,Central Badung,Kuta,Apartment,Individual,2,3,60%,$87.00,"$1,203.00","$3,646.00"
54,Apr/24,Central Badung,Kuta,Apartment,Individual,2,3,49%,$101.00,"$1,154.00","$3,070.00"
55,Apr/25,Central Badung,Kuta,Apartment,Individual,2,3,43%,$77.00,$847.00,"$2,397.00"
56,Aug/22,Central Badung,Kuta,Apartment,Individual,2,3,48%,$83.00,"$1,045.00","$3,000.00"
57,Aug/23,Central Badung,Kuta,Apartment,Individual,2,3,60%,$94.00,"$1,405.00","$4,889.00"
58,Aug/24,Central Badung,Kuta,Apartment,Individual,2,4,54%,$100.00,"$1,527.00","$5,696.00"
59,Aug/25,Central Badung,Kuta,Apartment,Individual,2,2,51%,$92.00,"$1,282.00","$3,000.00"
60,Dec/26,Central Badung,Kuta,Apartment,Individual,2,2,51%,$84.00,$697.00,"$1,227.00"
61,Dec/22,Central Badung,Kuta,Apartment,Individual,2,3,69%,$103.00,"$1,721.00","$5,509.00"
62,Dec/23,Central Badung,Kuta,Apartment,Individual,2,4,60%,$93.00,"$1,178.00","$4,346.00"
63,Dec/24,Central Badung,Kuta,Apartment,Individual,2,4,61%,$88.00,$906.00,"$3,680.00"
64,Dec/25,Central Badung,Kuta,Apartment,Individual,2,3,66%,$75.00,"$1,015.00","$3,207.00"
65,Feb/22,Central Badung,Kuta,Apartment,Individual,2,2,17%,$69.00,$241.00,$366.00
66,Feb/23,Central Badung,Kuta,Apartment,Individual,2,3,60%,$101.00,"$1,292.00","$3,502.00"
67,Feb/24,Central Badung,Kuta,Apartment,Individual,2,3,41%,$84.00,$873.00,"$2,217.00"
68,Feb/25,Central Badung,Kuta,Apartment,Individual,2,2,23%,$91.00,$673.00,"$1,574.00"
69,Jan/22,Central Badung,Kuta,Apartment,Individual,2,2,24%,$61.00,$417.00,$839.00
70,Jan/23,Central Badung,Kuta,Apartment,Individual,2,3,50%,$98.00,"$1,298.00","$4,205.00"
71,Jan/24,Central Badung,Kuta,Apartment,Individual,2,3,35%,$92.00,$979.00,"$3,367.00"
72,Jan/25,Central Badung,Kuta,Apartment,Individual,2,3,35%,$78.00,$738.00,"$2,451.00"
73,Jul/22,Central Badung,Kuta,Apartment,Individual,2,3,56%,$81.00,"$1,186.00","$3,452.00"
74,Jul/23,Central Badung,Kuta,Apartment,Individual,2,3,62%,$95.00,"$1,441.00","$4,727.00"
75,Jul/24,Central Badung,Kuta,Apartment,Individual,2,3,61%,$89.00,"$1,311.00","$4,562.00"
76,Jul/25,Central Badung,Kuta,Apartment,Individual,2,2,52%,$94.00,"$1,293.00","$3,180.00"
77,Jun/22,Central Badung,Kuta,Apartment,Individual,2,3,46%,$77.00,$843.00,"$2,285.00"
78,Jun/23,Central Badung,Kuta,Apartment,Individual,2,3,55%,$85.00,"$1,099.00","$3,648.00"
79,Jun/24,Central Badung,Kuta,Apartment,Individual,2,3,51%,$103.00,"$1,298.00","$4,257.00"
80,Jun/25,Central Badung,Kuta,Apartment,Individual,2,3,53%,$85.00,"$1,080.00","$3,230.00"
81,Mar/22,Central Badung,Kuta,Apartment,Individual,2,1,20%,$67.00,$373.00,$351.00
82,Mar/23,Central Badung,Kuta,Apartment,Individual,2,3,54%,$101.00,"$1,320.00","$3,683.00"
83,Mar/24,Central Badung,Kuta,Apartment,Individual,2,3,43%,$83.00,$944.00,"$2,360.00"
84,Mar/25,Central Badung,Kuta,Apartment,Individual,2,2,40%,$72.00,$703.00,"$1,265.00"
85,May/22,Central Badung,Kuta,Apartment,Individual,2,3,43%,$83.00,$876.00,"$2,259.00"
86,May/23,Central Badung,Kuta,Apartment,Individual,2,3,47%,$81.00,$985.00,"$2,986.00"
87,May/24,Central Badung,Kuta,Apartment,Individual,2,3,51%,$97.00,"$1,207.00","$3,765.00"
88,May/25,Central Badung,Kuta,Apartment,Individual,2,3,43%,$83.00,$869.00,"$2,598.00"
89,Nov/26,Central Badung,Kuta,Apartment,Individual,2,1,22%,$80.00,$621.00,$509.00
90,Nov/22,Central Badung,Kuta,Apartment,Individual,2,3,51%,$92.00,"$1,060.00","$2,914.00"
91,Nov/23,Central Badung,Kuta,Apartment,Individual,2,3,42%,$91.00,"$1,054.00","$3,235.00"
92,Nov/24,Central Badung,Kuta,Apartment,Individual,2,3,45%,$92.00,"$1,025.00","$2,686.00"
93,Nov/25,Central Badung,Kuta,Apartment,Individual,2,2,41%,$66.00,$754.00,"$1,575.00"
94,Oct/26,Central Badung,Kuta,Apartment,Individual,2,1,30%,$78.00,$417.00,$342.00
95,Oct/22,Central Badung,Kuta,Apartment,Individual,2,3,52%,$94.00,"$1,251.00","$3,128.00"
96,Oct/23,Central Badung,Kuta,Apartment,Individual,2,3,43%,$88.00,$971.00,"$3,028.00"
97,Oct/24,Central Badung,Kuta,Apartment,Individual,2,3,49%,$94.00,"$1,313.00","$3,926.00"
98,Oct/25,Central Badung,Kuta,Apartment,Individual,2,3,44%,$77.00,"$1,179.00","$2,946.00"
99,Sep/22,Central Badung,Kuta,Apartment,Individual,2,3,45%,$87.00,$961.00,"$2,605.00"
100,Sep/23,Central Badung,Kuta,Apartment,Individual,2,3,51%,$86.00,"$1,165.00","$3,776.00"
101,Sep/24,Central Badung,Kuta,Apartment,Individual,2,4,49%,$82.00,"$1,151.00","$4,107.00"
102,Sep/25,Central Badung,Kuta,Apartment,Individual,2,2,39%,$83.00,$983.00,"$2,262.00"
103,Apr/22,Central Badung,Kuta,Apartment,Individual,3,0,56%,$160.00,"$1,877.00",$845.00
104,Apr/23,Central Badung,Kuta,Apartment,Individual,3,1,61%,$120.00,"$1,726.00","$1,415.00"
105,Apr/24,Central Badung,Kuta,Apartment,Individual,3,1,43%,$112.00,"$1,359.00",$951.00
106,Aug/22,Central Badung,Kuta,Apartment,Individual,3,0,62%,$159.00,"$2,706.00","$1,109.00"
107,Aug/23,Central Badung,Kuta,Apartment,Individual,3,1,57%,$140.00,"$1,846.00","$1,735.00"
108,Aug/24,Central Badung,Kuta,Apartment,Individual,3,1,53%,$112.00,"$1,593.00","$1,115.00"
109,Aug/25,Central Badung,Kuta,Apartment,Individual,3,0,70%,$160.00,"$2,738.00",$904.00
110,Dec/26,Central Badung,Kuta,Apartment,Individual,3,1,55%,$131.00,"$1,403.00",$743.00
111,Dec/22,Central Badung,Kuta,Apartment,Individual,3,1,72%,$167.00,"$2,021.00","$1,658.00"
112,Dec/23,Central Badung,Kuta,Apartment,Individual,3,1,66%,$139.00,"$1,878.00","$2,160.00"
113,Dec/25,Central Badung,Kuta,Apartment,Individual,3,0,42%,$128.00,"$1,049.00",$430.00
114,Feb/22,Central Badung,Kuta,Apartment,Individual,3,0,25%,$117.00,$744.00,$216.00
115,Feb/23,Central Badung,Kuta,Apartment,Individual,3,1,57%,$139.00,"$1,503.00","$1,353.00"
116,Feb/24,Central Badung,Kuta,Apartment,Individual,3,1,37%,$112.00,"$1,231.00","$1,158.00"
117,Jan/22,Central Badung,Kuta,Apartment,Individual,3,0,26%,$118.00,$658.00,$322.00
118,Jan/23,Central Badung,Kuta,Apartment,Individual,3,1,58%,$160.00,"$2,112.00","$1,985.00"
119,Jan/24,Central Badung,Kuta,Apartment,Individual,3,1,41%,$128.00,"$1,347.00","$1,549.00"
120,Jul/22,Central Badung,Kuta,Apartment,Individual,3,0,65%,$167.00,"$2,801.00","$1,261.00"
121,Jul/23,Central Badung,Kuta,Apartment,Individual,3,1,64%,$170.00,"$2,671.00","$1,977.00"
122,Jul/24,Central Badung,Kuta,Apartment,Individual,3,1,53%,$111.00,"$1,534.00","$1,135.00"
123,Jul/25,Central Badung,Kuta,Apartment,Individual,3,0,73%,$128.00,"$2,769.00",$692.00
124,Jun/22,Central Badung,Kuta,Apartment,Individual,3,0,48%,$161.00,"$2,093.00","$1,026.00"
125,Jun/23,Central Badung,Kuta,Apartment,Individual,3,1,50%,$158.00,"$1,846.00","$1,588.00"
126,Jun/24,Central Badung,Kuta,Apartment,Individual,3,1,38%,$106.00,"$1,072.00",$793.00
127,Mar/22,Central Badung,Kuta,Apartment,Individual,3,0,39%,$140.00,"$1,549.00",$449.00
128,Mar/23,Central Badung,Kuta,Apartment,Individual,3,1,56%,$158.00,"$2,012.00","$1,731.00"
129,Mar/24,Central Badung,Kuta,Apartment,Individual,3,1,43%,$120.00,"$1,462.00",$892.00
130,May/22,Central Badung,Kuta,Apartment,Individual,3,1,42%,$144.00,"$1,458.00",$831.00
131,May/23,Central Badung,Kuta,Apartment,Individual,3,1,61%,$151.00,"$2,106.00","$1,727.00"
132,May/24,Central Badung,Kuta,Apartment,Individual,3,1,42%,$96.00,"$1,071.00",$793.00
133,Nov/26,Central Badung,Kuta,Apartment,Individual,3,0,52%,$166.00,"$1,937.00",$562.00
134,Nov/22,Central Badung,Kuta,Apartment,Individual,3,0,64%,$143.00,"$2,090.00",$941.00
135,Nov/23,Central Badung,Kuta,Apartment,Individual,3,1,38%,$91.00,$792.00,$586.00
136,Nov/25,Central Badung,Kuta,Apartment,Individual,3,0,41%,$96.00,"$1,022.00",$296.00
137,Oct/26,Central Badung,Kuta,Apartment,Individual,3,0,30%,$136.00,"$1,653.00",$612.00
138,Oct/22,Central Badung,Kuta,Apartment,Individual,3,0,82%,$182.00,"$2,707.00",$785.00
139,Oct/23,Central Badung,Kuta,Apartment,Individual,3,1,50%,$104.00,"$1,399.00","$1,092.00"
140,Oct/25,Central Badung,Kuta,Apartment,Individual,3,0,46%,$106.00,"$1,502.00",$436.00
141,Sep/22,Central Badung,Kuta,Apartment,Individual,3,0,64%,$124.00,"$1,749.00",$717.00
142,Sep/23,Central Badung,Kuta,Apartment,Individual,3,1,42%,$109.00,"$1,592.00","$1,433.00"
143,Sep/24,Central Badung,Kuta,Apartment,Individual,3,1,54%,$125.00,"$1,902.00","$1,256.00"
144,Sep/25,Central Badung,Kuta,Apartment,Individual,3,0,62%,$115.00,"$1,706.00",$563.00
145,Dec/25,Central Badung,Kuta,Apartment,Individual,4,0,36%,$214.00,"$1,501.00",$180.00
146,Nov/25,Central Badung,Kuta,Apartment,Individual,4,0,49%,$181.00,"$1,992.00",$239.00
147,Oct/25,Central Badung,Kuta,Apartment,Individual,4,0,48%,$217.00,"$3,141.00",$377.00
148,Apr/22,Central Badung,Kuta,Apartment,Professional,1,0,60%,$75.00,"$1,059.00",$519.00
149,Apr/23,Central Badung,Kuta,Apartment,Professional,1,1,57%,$77.00,"$1,188.00",$974.00
150,Apr/24,Central Badung,Kuta,Apartment,Professional,1,1,65%,$53.00,$715.00,$823.00
151,Apr/25,Central Badung,Kuta,Apartment,Professional,1,2,56%,$48.00,$720.00,"$1,094.00"
152,Aug/22,Central Badung,Kuta,Apartment,Professional,1,1,65%,$66.00,"$1,160.00",$812.00
153,Aug/23,Central Badung,Kuta,Apartment,Professional,1,1,61%,$68.00,"$1,269.00","$1,295.00"
154,Aug/24,Central Badung,Kuta,Apartment,Professional,1,1,81%,$54.00,"$1,172.00","$1,582.00"
155,Aug/25,Central Badung,Kuta,Apartment,Professional,1,2,69%,$49.00,$746.00,"$1,224.00"
156,Dec/26,Central Badung,Kuta,Apartment,Professional,1,0,69%,$47.00,$677.00,$251.00
157,Dec/22,Central Badung,Kuta,Apartment,Professional,1,1,79%,$67.00,"$1,340.00","$1,152.00"
158,Dec/23,Central Badung,Kuta,Apartment,Professional,1,1,48%,$85.00,"$1,121.00","$1,334.00"
159,Dec/24,Central Badung,Kuta,Apartment,Professional,1,2,56%,$52.00,$777.00,"$1,718.00"
160,Dec/25,Central Badung,Kuta,Apartment,Professional,1,2,57%,$49.00,$762.00,"$1,501.00"
161,Feb/22,Central Badung,Kuta,Apartment,Professional,1,0,44%,$42.00,$415.00,$120.00
162,Feb/23,Central Badung,Kuta,Apartment,Professional,1,1,73%,$68.00,"$1,141.00",$890.00
163,Feb/24,Central Badung,Kuta,Apartment,Professional,1,1,50%,$50.00,$728.00,$684.00
164,Feb/25,Central Badung,Kuta,Apartment,Professional,1,1,68%,$50.00,$846.00,$795.00
165,Jan/22,Central Badung,Kuta,Apartment,Professional,1,0,40%,$46.00,$543.00,$157.00
166,Jan/23,Central Badung,Kuta,Apartment,Professional,1,1,73%,$71.00,"$1,445.00","$1,243.00"
167,Jan/24,Central Badung,Kuta,Apartment,Professional,1,1,44%,$65.00,"$1,012.00","$1,123.00"
168,Jan/25,Central Badung,Kuta,Apartment,Professional,1,2,63%,$58.00,"$1,076.00","$1,679.00"
169,Jul/22,Central Badung,Kuta,Apartment,Professional,1,1,61%,$64.00,"$1,049.00",$692.00
170,Jul/23,Central Badung,Kuta,Apartment,Professional,1,1,65%,$64.00,"$1,026.00","$1,046.00"
171,Jul/24,Central Badung,Kuta,Apartment,Professional,1,1,72%,$52.00,"$1,019.00","$1,375.00"
172,Jul/25,Central Badung,Kuta,Apartment,Professional,1,2,76%,$49.00,$884.00,"$1,485.00"
173,Jun/22,Central Badung,Kuta,Apartment,Professional,1,1,52%,$61.00,$917.00,$716.00
174,Jun/23,Central Badung,Kuta,Apartment,Professional,1,1,58%,$72.00,"$1,182.00",$969.00
175,Jun/24,Central Badung,Kuta,Apartment,Professional,1,1,66%,$54.00,$976.00,"$1,279.00"
176,Jun/25,Central Badung,Kuta,Apartment,Professional,1,2,67%,$49.00,$870.00,"$1,322.00"
177,Mar/22,Central Badung,Kuta,Apartment,Professional,1,0,50%,$46.00,$447.00,$165.00
178,Mar/23,Central Badung,Kuta,Apartment,Professional,1,1,59%,$71.00,$966.00,$792.00
179,Mar/24,Central Badung,Kuta,Apartment,Professional,1,1,40%,$63.00,$624.00,$612.00
180,Mar/25,Central Badung,Kuta,Apartment,Professional,1,1,60%,$48.00,$740.00,$851.00
181,May/22,Central Badung,Kuta,Apartment,Professional,1,1,64%,$63.00,"$1,096.00",$898.00
182,May/23,Central Badung,Kuta,Apartment,Professional,1,1,55%,$73.00,"$1,134.00",$884.00
183,May/24,Central Badung,Kuta,Apartment,Professional,1,1,61%,$51.00,$825.00,"$1,047.00"
184,May/25,Central Badung,Kuta,Apartment,Professional,1,1,59%,$49.00,$724.00,"$1,072.00"
185,Nov/26,Central Badung,Kuta,Apartment,Professional,1,0,83%,$34.00,$836.00,$209.00
186,Nov/22,Central Badung,Kuta,Apartment,Professional,1,1,71%,$56.00,"$1,098.00",$900.00
187,Nov/23,Central Badung,Kuta,Apartment,Professional,1,1,50%,$78.00,"$1,134.00","$1,304.00"
188,Nov/24,Central Badung,Kuta,Apartment,Professional,1,2,61%,$49.00,$837.00,"$1,749.00"
189,Nov/25,Central Badung,Kuta,Apartment,Professional,1,2,62%,$47.00,$899.00,"$1,582.00"
190,Oct/26,Central Badung,Kuta,Apartment,Professional,1,0,61%,$37.00,$368.00,$92.00
191,Oct/22,Central Badung,Kuta,Apartment,Professional,1,1,65%,$57.00,"$1,083.00",$931.00
192,Oct/23,Central Badung,Kuta,Apartment,Professional,1,1,44%,$60.00,$862.00,$923.00
193,Oct/24,Central Badung,Kuta,Apartment,Professional,1,2,67%,$50.00,"$1,007.00","$2,145.00"
194,Oct/25,Central Badung,Kuta,Apartment,Professional,1,2,63%,$48.00,$946.00,"$1,665.00"
195,Sep/22,Central Badung,Kuta,Apartment,Professional,1,1,72%,$59.00,"$1,034.00",$848.00
196,Sep/23,Central Badung,Kuta,Apartment,Professional,1,1,54%,$63.00,"$1,099.00","$1,220.00"
197,Sep/24,Central Badung,Kuta,Apartment,Professional,1,1,69%,$53.00,"$1,010.00","$1,364.00"
198,Sep/25,Central Badung,Kuta,Apartment,Professional,1,2,62%,$46.00,$749.00,"$1,168.00"
199,Apr/22,Central Badung,Kuta,Apartment,Professional,2,0,38%,$166.00,$439.00,$70.00
200,Apr/23,Central Badung,Kuta,Apartment,Professional,2,0,39%,$140.00,"$1,312.00",$381.00
201,Apr/24,Central Badung,Kuta,Apartment,Professional,2,0,56%,$124.00,"$1,615.00",$598.00
202,Aug/22,Central Badung,Kuta,Apartment,Professional,2,0,50%,$132.00,"$2,085.00",$605.00
203,Aug/23,Central Badung,Kuta,Apartment,Professional,2,0,64%,$144.00,"$2,440.00","$1,000.00"
204,Aug/24,Central Badung,Kuta,Apartment,Professional,2,0,81%,$144.00,"$3,197.00","$1,311.00"
205,Dec/26,Central Badung,Kuta,Apartment,Professional,2,0,46%,$143.00,"$1,482.00",$178.00
206,Dec/22,Central Badung,Kuta,Apartment,Professional,2,0,57%,$190.00,"$1,930.00",$637.00
207,Dec/23,Central Badung,Kuta,Apartment,Professional,2,0,64%,$184.00,"$2,454.00",$908.00
208,Dec/25,Central Badung,Kuta,Apartment,Professional,2,0,65%,$75.00,"$1,102.00",$364.00
209,Feb/22,Central Badung,Kuta,Apartment,Professional,2,0,11%,$125.00,$377.00,$60.00
210,Feb/23,Central Badung,Kuta,Apartment,Professional,2,0,49%,$171.00,"$2,196.00",$549.00
211,Feb/24,Central Badung,Kuta,Apartment,Professional,2,0,27%,$137.00,"$1,222.00",$452.00
212,Jan/22,Central Badung,Kuta,Apartment,Professional,2,0,20%,$118.00,$460.00,$92.00
213,Jan/23,Central Badung,Kuta,Apartment,Professional,2,0,39%,$181.00,"$2,052.00",$595.00
214,Jan/24,Central Badung,Kuta,Apartment,Professional,2,0,39%,$158.00,"$1,888.00",$699.00
215,Jul/22,Central Badung,Kuta,Apartment,Professional,2,0,54%,$158.00,"$1,501.00",$435.00
216,Jul/23,Central Badung,Kuta,Apartment,Professional,2,0,46%,$140.00,"$1,448.00",$536.00
217,Jul/24,Central Badung,Kuta,Apartment,Professional,2,0,75%,$125.00,"$2,179.00",$806.00
218,Jun/22,Central Badung,Kuta,Apartment,Professional,2,0,26%,$142.00,$854.00,$214.00
219,Jun/23,Central Badung,Kuta,Apartment,Professional,2,0,48%,$163.00,"$1,737.00",$712.00
220,Jun/24,Central Badung,Kuta,Apartment,Professional,2,0,57%,$125.00,"$1,708.00",$632.00
