DATE,REGION,LOCATION,TYPE,MGMT,BEDS,COUNT,OCCUPANCY,RATE IDR,RATE USD,MONTHLY IDR,MONTHLY USD,TOTAL REVENUE
Oct/25,Central Badung,Seminyak,Villa,Professional,6,157,42.7%,"Rp20,555,137","$1,236","Rp248,351,101","$14,934",$0
Nov/25,Central Badung,Seminyak,Villa,Professional,6,153,32.2%,"Rp19,400,838","$1,165","Rp175,204,430","$10,520",$0
Dec/25,Central Badung,Seminyak,Villa,Professional,6,146,35.0%,"Rp20,006,250","$1,200","Rp188,520,355","$11,306",$0
Oct/21,Denpasar,Denpasar,Apartment,Individual ,3,2,84.5%,"Rp580,374",$41,"Rp14,219,159","$1,004",$0
Nov/21,Denpasar,Denpasar,Apartment,Individual ,3,6,89.0%,"Rp3,247,918",$227,"Rp69,830,289","$4,876",$0
Dec/21,Denpasar,Denpasar,Apartment,Individual ,3,6,70.3%,"Rp3,941,599",$277,"Rp51,240,829","$3,596",$0
Jan/22,Denpasar,Denpasar,Apartment,Individual ,3,5,52.8%,"Rp4,581,083",$319,"Rp61,386,516","$4,269",$0
Feb/22,Denpasar,Denpasar,Apartment,Individual ,3,1,14.3%,"Rp4,786,058",$333,"Rp9,572,117",$666,$0
Mar/22,Denpasar,Denpasar,Apartment,Individual ,3,1,29.0%,"Rp2,652,848",$185,"Rp23,875,629","$1,662",$0
Apr/22,Denpasar,Denpasar,Apartment,Individual ,3,1,28.6%,"Rp2,772,783",$191,"Rp5,545,566",$383,$0
May/22,Denpasar,Denpasar,Apartment,Individual ,3,1,100.0%,"Rp350,712",$24,"Rp1,402,848",$96,$0
Jun/22,Denpasar,Denpasar,Apartment,Individual ,3,4,94.7%,"Rp2,395,194",$161,"Rp10,778,371",$724,$0
Jul/22,Denpasar,Denpasar,Apartment,Individual ,3,4,63.9%,"Rp2,864,303",$193,"Rp44,396,694","$2,994",$0
Aug/22,Denpasar,Denpasar,Apartment,Individual ,3,5,57.4%,"Rp1,468,112",$99,"Rp15,170,538","$1,022",$0
Sep/22,Denpasar,Denpasar,Apartment,Individual ,3,4,38.3%,"Rp1,550,802",$102,"Rp15,895,723","$1,044",$0
Oct/22,Denpasar,Denpasar,Apartment,Individual ,3,5,53.5%,"Rp1,141,278",$73,"Rp8,673,715",$556,$0
Nov/22,Denpasar,Denpasar,Apartment,Individual ,3,4,46.7%,"Rp853,412",$54,"Rp5,973,934",$380,$0
Dec/22,Denpasar,Denpasar,Apartment,Individual ,3,3,91.1%,"Rp1,690,318",$109,"Rp40,567,635","$2,606",$0
Jan/23,Denpasar,Denpasar,Apartment,Individual ,3,3,85.7%,"Rp1,653,244",$110,"Rp36,371,317","$2,427",$0
Feb/23,Denpasar,Denpasar,Apartment,Individual ,3,4,89.3%,"Rp1,041,769",$68,"Rp21,616,711","$1,418",$0
Mar/23,Denpasar,Denpasar,Apartment,Individual ,3,3,69.5%,"Rp1,544,645",$103,"Rp21,110,144","$1,408",$0
Apr/23,Denpasar,Denpasar,Apartment,Individual ,3,4,69.7%,"Rp1,483,833",$101,"Rp19,660,792","$1,341",$0
May/23,Denpasar,Denpasar,Apartment,Individual ,3,5,59.8%,"Rp2,082,018",$139,"Rp25,400,618","$1,695",$0
Jun/23,Denpasar,Denpasar,Apartment,Individual ,3,5,54.1%,"Rp1,515,024",$101,"Rp13,938,221",$930,$0
Jul/23,Denpasar,Denpasar,Apartment,Individual ,3,5,67.6%,"Rp1,884,867",$125,"Rp36,943,387","$2,451",$0
Aug/23,Denpasar,Denpasar,Apartment,Individual ,3,5,53.5%,"Rp3,482,070",$229,"Rp43,177,674","$2,836",$0
Sep/23,Denpasar,Denpasar,Apartment,Individual ,3,4,53.6%,"Rp3,637,881",$235,"Rp18,189,457","$1,177",$0
Oct/23,Denpasar,Denpasar,Apartment,Individual ,3,3,43.4%,"Rp2,207,976",$139,"Rp36,431,609","$2,294",$0
Nov/23,Denpasar,Denpasar,Apartment,Individual ,3,3,31.0%,"Rp2,682,443",$173,"Rp17,435,877","$1,125",$0
Dec/23,Denpasar,Denpasar,Apartment,Individual ,3,7,77.3%,"Rp2,674,007",$174,"Rp19,482,029","$1,265",$0
Jan/24,Denpasar,Denpasar,Apartment,Individual ,3,7,24.0%,"Rp2,087,902",$132,"Rp12,527,410",$794,$0
Feb/24,Denpasar,Denpasar,Apartment,Individual ,3,4,63.8%,"Rp2,608,059",$166,"Rp38,251,586","$2,435",$0
Mar/24,Denpasar,Denpasar,Apartment,Individual ,3,4,52.7%,"Rp2,701,646",$170,"Rp26,341,051","$1,662",$0
Apr/24,Denpasar,Denpasar,Apartment,Individual ,3,4,55.2%,"Rp3,423,121",$211,"Rp54,769,985","$3,369",$0
May/24,Denpasar,Denpasar,Apartment,Individual ,3,3,37.5%,"Rp3,051,525",$188,"Rp21,360,728","$1,315",$0
Jun/24,Denpasar,Denpasar,Apartment,Individual ,3,2,26.8%,"Rp4,165,089",$254,"Rp22,907,992","$1,399",$0
Jul/24,Denpasar,Denpasar,Apartment,Individual ,3,4,72.6%,"Rp3,353,612",$206,"Rp44,435,356","$2,734",$0
Aug/24,Denpasar,Denpasar,Apartment,Individual ,3,6,59.9%,"Rp2,909,655",$188,"Rp41,220,054","$2,668",$0
Sep/24,Denpasar,Denpasar,Apartment,Individual ,3,6,21.6%,"Rp3,160,717",$209,"Rp22,915,200","$1,514",$0
Oct/21,Other,Candidasa,Villa,Professional,2,,19.4%,"Rp3,996,648",$282,"Rp23,979,887","$1,693",$0
Nov/21,Other,Candidasa,Villa,Professional,2,,38.5%,"Rp3,532,177",$247,"Rp17,660,885","$1,233",$0
Mar/22,Other,Candidasa,Villa,Professional,2,,12.9%,"Rp5,793,667",$403,"Rp23,174,667","$1,613",$0
Sep/22,Other,Candidasa,Villa,Professional,2,,62.6%,"Rp4,801,073",$315,"Rp24,805,546","$1,629",$0
Feb/23,Other,Candidasa,Villa,Professional,2,,20.4%,"Rp2,316,830",$152,"Rp12,742,563",$836,$0
Mar/23,Other,Candidasa,Villa,Professional,2,,29.9%,"Rp2,569,927",$171,"Rp18,417,865","$1,229",$0
Nov/23,Other,Candidasa,Villa,Professional,2,,28.9%,"Rp2,284,101",$147,"Rp11,628,108",$750,$0
Feb/24,Other,Candidasa,Villa,Professional,2,16,26.9%,"Rp3,001,357",$191,"Rp26,111,807","$1,662",$0
